"","dyadID","avg_grbs_A","avg_grbs_P","avg_housework_female_A","avg_housework_female_P","avg_housework_male_A","avg_housework_male_P","genderE_A","genderE_P","housework_fair_A","housework_fair_P","housework_satisfied_A","housework_satisfied_P","partnum2_A","partnum2_P","religion_A","religion_P"
"83",27311279,"3.85","3.5","74","64","85","65","0","1","3","3","5","5","1","1","Christianity","Christianity"
"84",27311279,"3.5","3.85","64","74","65","85","1","0","3","3","5","5","2","2","Christianity","Christianity"
"85",27511978,"2.5","2","32","76","70","40","0","1","3","1","5","5","1","1","Christianity","Christianity"
"86",27511978,"2","2.5","76","32","40","70","1","0","1","3","5","5","2","2","Christianity","Christianity"
"87",28021760,"3.15","3.5","68","66","60","75","0","1","3","2","3","3","1","1","Christianity","Christianity"
"88",28021760,"3.5","3.15","66","68","75","60","1","0","2","3","3","3","2","2","Christianity","Christianity"
"89",28947773,"3.7","3.8","90","92","95","95","0","1","1","1","5","5","1","1","Christianity","Christianity"
"90",28947773,"3.8","3.7","92","90","95","95","1","0","1","1","5","5","2","2","Christianity","Christianity"
"91",28992200,"2.9","3.15","60","71.1111111111111","85","40","0","1","3","3","3","3","1","1","Hinduism","Hinduism"
"92",28992200,"3.15","2.9","71.1111111111111","60","40","85","1","0","3","3","3","3","2","2","Hinduism","Hinduism"
"93",28992252,"3.25","2.9","60","60","60","60","0","1","3","3","4","4","1","1","Agnostic","Agnostic"
"94",28992252,"2.9","3.25","60","60","60","60","1","0","3","3","4","4","2","2","Agnostic","Agnostic"
"95",28993415,"2.9","2.65","32","86","65","75","0","1","3","1","5","5","1","1","Christianity","Christianity"
"96",28993415,"2.65","2.9","86","32","75","65","1","0","1","3","5","5","2","2","Christianity","Christianity"
"97",29008274,"1.2","3","74","52","100","40","0","1","3","3","4","3","1","1","Christianity,Agnostic","Christianity"
"98",29008274,"3","1.2","52","74","40","100","1","0","3","3","3","4","2","2","Christianity","Christianity,Agnostic"
"99",29008631,"3.05","2.2","46","74","90","35","0","1","2","3","4","5","1","1","Christianity","Christianity"
"100",29008631,"2.2","3.05","74","46","35","90","1","0","3","2","5","4","2","2","Christianity","Christianity"
"101",29014377,NA,"1.8",NA,"82",NA,"40",NA,"1",NA,"3",NA,"4",NA,"1",NA,"Christianity"
"102",29014377,"1.8",NA,"82",NA,"40",NA,"1",NA,"3",NA,"4",NA,"2",NA,"Christianity",NA
"103",29027911,NA,"2.15",NA,"71.1111111111111",NA,"45",NA,"1",NA,"3",NA,"5",NA,"1",NA,"Christianity"
"104",29027911,"2.15",NA,"71.1111111111111",NA,"45",NA,"1",NA,"3",NA,"5",NA,"2",NA,"Christianity",NA
"105",29029182,"2","1.2","52","66","60","50","0","1","3","3","3","4","1","1","Christianity","Islam"
"106",29029182,"1.2","2","66","52","50","60","1","0","3","3","4","3","2","2","Islam","Christianity"
"107",29070034,"3.1","3.5","76","64","90","40","0","1","2","1","5","5","1","1","Islam","Islam"
"108",29070034,"3.5","3.1","64","76","40","90","1","0","1","2","5","5","2","2","Islam","Islam"
"109",29077358,"2.6","2.3","30","92","70","50","0","1","2","2","4","4","1","1","Christianity","Christianity"
"110",29077358,"2.3","2.6","92","30","50","70","1","0","2","2","4","4","2","2","Christianity","Christianity"
"111",29080875,"2.85","2.7","24","94","70","45","0","1","3","3","3","3","1","1","Christianity","Christianity"
"112",29080875,"2.7","2.85","94","24","45","70","1","0","3","3","3","3","2","2","Christianity","Christianity"
"113",29083526,"3.5","3.05","40","82","100","40","0","1","3","3","5","5","1","1","Christianity","Christianity"
"114",29083526,"3.05","3.5","82","40","40","100","1","0","3","3","5","5","2","2","Christianity","Christianity"
"115",29090161,"2","2.15","52","75.5555555555556","95","40","0","1","2","2","3","4","1","1","Christianity","Christianity"
"116",29090161,"2.15","2","75.5555555555556","52","40","95","1","0","2","2","4","3","2","2","Christianity","Christianity"
"117",29108175,"3","3.35","84","76","100","85","0","1","3","3","3","3","1","1","Judaism","Judaism"
"118",29108175,"3.35","3","76","84","85","100","1","0","3","3","3","3","2","2","Judaism","Judaism"
"119",29113070,"3.2","3","54","72","100","25","0","1","4","1","3","5","1","1","Christianity","Christianity"
"120",29113070,"3","3.2","72","54","25","100","1","0","1","4","5","3","2","2","Christianity","Christianity"
"121",29120878,"2.6","1.5","50","88","70","60","0","1","2","3","4","3","1","1","Christianity","Christianity"
"122",29120878,"1.5","2.6","88","50","60","70","1","0","3","2","3","4","2","2","Christianity","Christianity"
"123",29169849,"3.95","3.5","35.5555555555556","82.2222222222222","60","60","0","1","3","3","5","4","1","1","Christianity","Christianity"
"124",29169849,"3.5","3.95","82.2222222222222","35.5555555555556","60","60","1","0","3","3","4","5","2","2","Christianity","Christianity"
"125",29186653,"2.3","2.25","42","72","75","45","0","1","3","2","4","5","1","1","Christianity","Christianity"
"126",29186653,"2.25","2.3","72","42","45","75","1","0","2","3","5","4","2","2","Christianity","Christianity"
"127",29187228,"3.65","2.25","48","80","65","70","0","1","2","5","4","1","1","1","Christianity","Agnostic"
"128",29187228,"2.25","3.65","80","48","70","65","1","0","5","2","1","4","2","2","Agnostic","Christianity"
"129",29226842,"2.45","2.45","22.2222222222222","93.3333333333333","70","40","0","1","3","3","3","5","1","1","Christianity","Christianity"
"130",29226842,"2.45","2.45","93.3333333333333","22.2222222222222","40","70","1","0","3","3","5","3","2","2","Christianity","Christianity"
"131",29237405,NA,"2.8",NA,"68",NA,"40",NA,"1",NA,"3",NA,"4",NA,"1",NA,"Christianity"
